"dataset_id","path","type","format","crs","resolution","rows_or_bands","checksum","notes"
"occ_raw_002","01_data_raw/01_occurrences/occurrence_south_central_bhutan.csv","tabular","csv",NA,NA,82684,"541304fbd6c64424976e5f5dd93ee7ba","DEPRECATED — South Central Bhutan occurrence input retained for historical reference"
"occ_raw_003","01_data_raw/01_occurrences/occurrence_bhutan.csv","tabular","csv",NA,NA,123,"","DEPRECATED / not packaged in current repository — historical Bhutan-wide planning input"
"occ_raw_004","01_data_raw/01_occurrences/elephant_PA_data.csv","tabular","csv","EPSG:4326",NA,1089,"","Primary operational occurrence input — station-level presence-absence survey data (longitude/latitude; 252 presence, 837 absence)"
"hist_bio_001","01_data_raw/02_rasters/present/Historical_bioclims/data/Historical/1986-2015/","raster","tif","EPSG:4326","30 arcsec",19,"da3ac873a6937d7a0d147d906616ba26","Baseline climate 1986-2015 (BIO01-BIO19)"
"anthro_001","01_data_raw/02_rasters/present/HII_Bhutan_2020.tif","raster","tif","EPSG:4326","1km",1,"6ee22849551ba0e4374db4e0afd76e12","Human footprint index continuous layer"
"anthro_002","01_data_raw/02_rasters/present/esa_landcover.tif","raster","tif","EPSG:4326","10m",1,"dfc9ca9180b2c0497ac05dbf1fce2eb0","ESA landcover categorical layer"
"ndvi_001","01_data_raw/02_rasters/vegetation_indices/NDVI_Bhutan_2023.tif","raster","tif","EPSG:32645","10m",1,"5fc49c28586b7c3bf3ff196e763b5931","NDVI vegetation index 2023"
"evi_001","01_data_raw/02_rasters/vegetation_indices/EVI_Bhutan_2023.tif","raster","tif","EPSG:32645","10m",1,"a6ae688e228ca842d76bf9a09e3fdcb0","EVI vegetation index 2023"
"aoi_001","01_data_raw/03_vector/shapefiles/South Central Bhutan/South_Central_Bhutan.shp","vector","shp","EPSG:32645",NA,1,"0dcefc13eb71f811361faaa01b23e98e","DEPRECATED — South Central Bhutan AOI polygon (superseded by aoi_002)"
"aoi_002","01_data_raw/03_vector/shapefiles/Bhutan/bhutan.shp","vector","shp","EPSG:4326",NA,1,"","Bhutan national boundary AOI — primary study area for v3.0-bhutan-national"
"gcm_mri","01_data_raw/02_rasters/future/MRI-ESM2-0/","raster","tif","EPSG:4326","30 arcsec",19,"b986e4ffc9640b4050c3f3bee7e6454c","CMIP6 GCM MRI-ESM2-0 (3 periods x 4 SSPs)"
"gcm_access","01_data_raw/02_rasters/future/ACCES_CM2/","raster","tif","EPSG:4326","30 arcsec",19,"61bfb3541d022ece14385e218b950dc3","CMIP6 GCM ACCESS-CM2 (3 periods x 4 SSPs)"
"gcm_cnrm_cm6","01_data_raw/02_rasters/future/CNRM_CM6_1/","raster","tif","EPSG:4326","30 arcsec",19,"4b43de701013c675362aa447e7b02d2b","CMIP6 GCM CNRM-CM6-1 (3 periods x 4 SSPs)"
"gcm_cnrm_esm","01_data_raw/02_rasters/future/CNRM-ESM2-1/","raster","tif","EPSG:4326","30 arcsec",19,"2b1be5c7ba5fdfddaf5427a95d8de366","CMIP6 GCM CNRM-ESM2-1 (3 periods x 4 SSPs)"
"gcm_inm4","01_data_raw/02_rasters/future/INM_CM4_8/","raster","tif","EPSG:4326","30 arcsec",19,"8eb38ed960e693a52fb66ee34ea6000c","CMIP6 GCM INM-CM4-8 (3 periods x 4 SSPs)"
"gcm_inm5","01_data_raw/02_rasters/future/INM-CM5-0/","raster","tif","EPSG:4326","30 arcsec",19,"49010bbe8fa48dc29cb44da25e49d491","CMIP6 GCM INM-CM5-0 (3 periods x 4 SSPs)"
"gcm_miroc","01_data_raw/02_rasters/future/MIROC6/","raster","tif","EPSG:4326","30 arcsec",19,"3df2b59a652b613d8dae202836c1e7cf","CMIP6 GCM MIROC6 (3 periods x 4 SSPs)"
"gcm_mpi","01_data_raw/02_rasters/future/MPI-ESM1-2-LR/","raster","tif","EPSG:4326","30 arcsec",19,"368460ebf684150ee997eb0881351362","CMIP6 GCM MPI-ESM1-2-LR (3 periods x 4 SSPs)"
